Date,News,Polarity,Sentiment,neg,neu,pos,compound,Cum
30 10 2013,"German unemployment stable in October: official data - FRANKFURT: German unemployment was stable in October, as the labour market continues to hold up in face of mixed economi",-1,-1,0.175,0.693,0.133,-0.34,-1
31 10 2013,SC bench seeks details of arms import via sea ports from Customs - KARACHI: Three judges' bench of the apex court headed by Chief Justice Iftikhar Muhammad Chaudhry has sought detaile,1,1,0.0,0.895,0.105,0.5267,1
31 10 2013,"German consumer confidence steady as retail sales fall - FRANKFURT: Consumer confidence in Germany appears to be holding up, even though retail sales in Europe's top economy",1,1,0.0,0.732,0.268,0.8126,1
31 10 2013,"PPP women wing committee meets on Friday - HYDERABAD: The meeting of the executive committee of Pakistan Peoples Party Women wing Sindh will be held on November 1,",1,1,0.0,0.906,0.094,0.4019,1
31 10 2013,Taiwan Q3 growth slows to 1.58pc on weaker exports - TAIPEI: Taiwan's economic growth slowed to 1.58 percent in the three months to September from a year earlier due to,1,1,0.088,0.755,0.157,0.3182,1
05 11 2013,"Spain jobless queue grows for second month: official data - MADRID: Unemployment queues in Spain grew in October for the second month in a row, a government report showed Tuesday,",-1,-1,0.1,0.9,0.0,-0.4404,-1
05 11 2013,"France, Spain wide of deficit targets: EU - BRUSSELS: France will miss an agreed target to cut its public deficit, the EU said on Tuesday, with Spain's battered",-1,-1,0.274,0.663,0.063,-0.7184,-1
05 11 2013,Drone attacks violate Pakistan's sovereignty: Shah Mahmood - ISLAMABAD: Pakistan Thereek-i-Insaf (PTI) Deputy Parliamentary Leader Shah Mahmood Qureshi said the drone attacks are vi,-1,-1,0.31,0.69,0.0,-0.8402,-1
05 11 2013,Index loses 271.26 points - RECORDER REPORTKARACHI: The new trading week began on a negative note at Karachi Stock Exchange on Monday following sell,-1,-1,0.231,0.769,0.0,-0.7184,-1
02 12 2013,WTO's global role hangs in the balance at Bali summit - NUSA DUA: The WTO launches a frantic drive to salvage its floundering efforts to liberalise global trade at a summit ope,-1,-1,0.094,0.906,0.0,-0.4404,-1
02 12 2013,"Sharjeel directs KMC to shut illegal car parking sites, marriage halls - KARACHI: Sindh Minister for Information and Local Government Sharjeel Inam Memon has directed the Administrator, Karachi",-1,-1,0.122,0.878,0.0,-0.5574,-1
02 12 2013,"LSE looses 0.88 points - LAHORE: Lahore Stock Exchange here Monday witnessed bearsh trend by losing 0.88 points, as the LSE Index-25 opened with",-1,-1,0.167,0.833,0.0,-0.4939,-1
05 12 2013,Africa must lower risk to spur banking growth: Ecobank CEO - ABIDJAN: Africa can expect increased competition in its banking sector as new players are attracted by the continent&#39,1,1,0.124,0.661,0.216,0.4939,1
05 12 2013,RBNZ says wants information transparency to anchor expectations - WELLINGTON: New Zealand's central bank said on Friday it wanted as much transparency and clear communication about i,1,1,0.0,0.902,0.098,0.3818,1
05 12 2013,"US economy grew a speedy 3.6pc in Q3 - WASHINGTON: The US economy grew at a 3.6 percent pace in the third quarter, much better than earlier estimates and the s",1,1,0.0,0.9,0.1,0.4404,1
05 12 2013,"Britain hikes economic growth forecasts in budget update - LONDON: Britain ramped up its economic growth forecasts on Thursday as the recovery gathers pace, finance minister Georg",1,1,0.0,0.822,0.178,0.6369,1
05 12 2013,China approves $1.3bn Renault-Dongfeng joint venture - BEIJING: Beijing has approved a long-awaited $1.3 billion joint venture between French carmaker Renault and Chinese gian,1,1,0.0,0.784,0.216,0.6705,1
17 12 2013,"British official annual inflation hits four-year low - LONDON: Britain's 12-month inflation rate slowed to 2.1 percent in November, the lowest level for four years, as foo",-1,-1,0.164,0.836,0.0,-0.5719,-1
17 12 2013,"Govt must avoid talks about constructing controversial dams - ISLAMABAD: Leader of the Opposition in the National Assembly, Syed Khursheed Shah Tuesday said that the government must",-1,-1,0.143,0.857,0.0,-0.4588,-1
23 12 2013,"LHC cancels bail of gas theft accused - LAHORE: The Lahore High Court on Monday cancelled bail of Malik Muhammad Anwar, a Faisalabad based mill-owner involved i",-1,-1,0.225,0.775,0.0,-0.6249,-1
23 12 2013,Mauritius trade deficit narrows 10pc yr/yr in October - PORT LOUIS: Mauritius trade deficit narrowed 10 percent in October to 6.75 million rupees ($224 million) from a year ear,-1,-1,0.178,0.822,0.0,-0.6597,-1
23 12 2013,"Vietnam economy grew 5.42pc in 2013 - HANOI: Vietnam's economy grew 5.42 percent in 2013, picking up speed slightly after its worst performance in more th",-1,-1,0.138,0.862,0.0,-0.5908,-1
23 12 2013,Vietnam 2013 crude exports fall 9.3pc y/y - HANOI: Vietnam's crude oil exports fell about 9.3 percent in calendar 2013 from a year earlier to 8.4 million tonnes,-1,-1,0.236,0.764,0.0,-0.8126,-1
27 12 2013,"Target says 'strongly encrypted' data taken in breach - NEW YORK: US retailer Target said on Friday that hackers obtained ""strongly encrypted"" data in a recent security breach,",1,1,0.0,0.777,0.223,0.6808,1
27 12 2013,NS policy is in national interest of Pakistan - ISLAMABAD: Analyst Dr. Ghulam Mustafa has said that National Security policy is being formed keeping in view the supreme,1,1,0.0,0.727,0.273,0.8402,1
28 12 2013,Brazil slaps tax increase on overseas tourism spending - RIO DE JANEIRO: Brazil on Saturday imposed a hefty six percent increase on the surcharge paid by its citizens when makin,1,1,0.042,0.809,0.149,0.5106,1
29 12 2013,"2014 promises faster growth, but no leap forward - LONDON: The world economy should snap a three-year stretch of slowing growth in 2014, although the upturn over the next",1,1,0.085,0.701,0.213,0.4939,1
29 12 2013,Govt taking steps for welfare of special persons: Sharmila - KARACHI: The government of Sindh is taking every possible measure for the welfare and betterment of the special persons.,1,1,0.0,0.828,0.172,0.6597,1
29 12 2013,"Bilawal House road sealed due to security concerns - KARACHI: Sindh Minister for Information, Sharjeel Inam Memon has said that the road leading to Bilawal House has been cl",1,1,0.0,0.918,0.082,0.34,1
29 12 2013,Gas supply to domestic consumers top priority: SNGPL - MULTAN: The provision of gas supply to domestic consumers is top priority of SNGPL (Sui Northern Gas Pipeline Limited).,1,1,0.0,0.874,0.126,0.3818,1
29 12 2013,Top French court approves 75pc company tax on high salaries - PARIS: France's top court Sunday approved a proposal for companies to pay 75 percent tax on annual salaries exceedin,1,1,0.042,0.687,0.272,0.7717,1
03 01 2014,"Spain jobless queues shrink in December - MADRID: Spain announced Friday a sharp contraction in jobless queues in December, offering a glimmer of New Year hope fo",1,1,0.0,0.888,0.112,0.4404,1
03 01 2014,IHC orders to ensure three days a week gas supply to CNG stations - ISLAMABAD: The Islamabad High Court (IHC) on Friday maintained the stay order for supply of gas to all CNG stations thre,1,1,0.0,0.925,0.075,0.3818,1
04 01 2014,CM assures fair treatment to all areas of the province - PESHAWAR: Chief Minister Khyber Pakhtunkhwa Pervez Khattak has said that his government believed in practical steps to d,1,1,0.0,0.845,0.155,0.5574,1
04 01 2014,CM seeks Insaf Lawyers Forum's assistance in implementing agenda for change - PESHAWAR: Chief Minister Pervez Khattak has urged Insaf Lawyers' Forum (ILF) to play better role in giving real shap,1,1,0.0,0.778,0.222,0.7717,1
05 01 2014,"China bond issues vanish as debt crackdown takes hold - SHANGHAI: Concern about China's debt load is mounting, but there are signs that higher interest rates may finally be",1,1,0.108,0.769,0.123,0.3612,1
05 01 2014,5 SC benches to hear cases from Monday - ISLAMABAD: Chief Justice of Pakistan Tassaduq Hussain Jillani has constituted five benches at the principal seat to hear,1,1,0.0,0.876,0.124,0.5267,1
29 01 2014,"JI hails Premier's offer for dialogue to Taliban - LAHORE: Secretary General, Jamaat e Islami, Liaqat Baloch, has appreciated Prime Minister Muhammad Nawaz Sharif's of",1,1,0.0,0.87,0.13,0.5106,1
